1,SKU101,1,2016-11-4,Andrew,A,Andrew@gmail.com,0430289001,smith st,wollongong,2500,NSW,1124,2114
2,SKU102,2,2016-11-5,Brain,B,Brain@gmail.com,0430289002,smith st,wollongong,2500,NSW,1124,2114
3,SKU103,3,2016-11-6,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,2500,NSW,1124,2114
4,SKU104,2,2016-11-7,Daniel,D,Daniel@gmail.com,0430289004,smith st,wollongong,2500,NSW,1124,2114
5,SKU105,1,2016-11-8,Eva,E,Eva@gmail.com,0430289005,smith st,wollongong,2500,NSW,1124,2114
6,SKU106,3,2016-11-9,Fred,F,Fred@gmail.com,0430289006,smith st,wollongong,2500,NSW,1124,2114
7,SKU107,3,2016-11-9,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,2500,NSW,1124,2114
8,SKU108,3,2016-11-11,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,2500,NSW,1124,2114
9,SKU109,3,2016-11-14,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,2500,NSW,1124,2114
10,SKU110,3,2016-11-13,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,2500,NSW,1124,2114
