1,1124,2114,2500,SKU101,2016-11-4,Andrew,A,Andrew@gmail.com,0430289001,smith st,wollongong,NSW
2,1124,2114,2500,SKU102,2016-11-5,Brain,B,Brain@gmail.com,0430289002,smith st,wollongong,NSW
3,1124,2114,2500,SKU103,2016-11-6,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,NSW
2,1124,2114,2500,SKU104,2016-11-7,Daniel,D,Daniel@gmail.com,0430289004,smith st,wollongong,NSW
1,1124,2114,2500,SKU105,2016-11-8,Eva,E,Eva@gmail.com,0430289005,smith st,wollongong,NSW
3,1124,2114,2500,SKU106,2016-11-9,Fred,F,Fred@gmail.com,0430289006,smith st,wollongong,NSW
3,1124,2114,2500,SKU107,2016-11-9,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,NSW
3,1124,2114,2500,SKU108,2016-11-11,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,NSW
3,1124,2114,2500,SKU109,2016-11-14,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,NSW
3,1124,2114,2500,SKU110,2016-11-13,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,NSW
,,,,,,,,,,,,
