1,WS0110,SKU100,1,,22,23,32,35,John,Andrew,A,Andrew@gmail.com,0430289001,smith st,wollongong,2500,NSW,1,3,2016-11-04
2,WS0111,SKU100,2,,22,23,32,35,John,Brain,B,Brain@gmail.com,0430289002,smith st,wollongong,2500,NSW,1,1,2016-11-04
3,WS0112,SKU103,3,2016-11-12,22,23,32,35,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,2500,NSW,4,2,2016-11-04
4,WS0113,SKU103,3,2016-11-07,22,23,32,35,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,2500,NSW,5,1,2016-11-04
5,WS0114,SKU104,1,,22,23,32,35,John,Daniel,D,Daniel@gmail.com,0430289004,smith st,wollongong,2500,NSW,5,2,2016-11-04
6,WS0115,SKU105,2,,22,23,32,35,John,Eva,E,Eva@gmail.com,0430289005,smith st,wollongong,2500,NSW,6,3,2016-11-04
7,WS0116,SKU106,3,2016-11-11,22,23,32,35,John,Fred,F,Fred@gmail.com,0430289006,smith st,wollongong,2500,NSW,7,1,2016-11-04
8,WS0117,SKU107,3,2016-11-12,22,23,32,35,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,2500,NSW,8,1,2016-11-04
9,WS0118,SKU107,3,2016-11-11,22,23,32,35,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,2500,NSW,8,3,2016-11-04
10,WS0119,SKU108,3,2016-11-14,22,23,32,35,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,2500,NSW,9,3,2016-11-04
11,WS01110,SKU108,3,2016-11-15,22,23,32,35,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,2500,NSW,9,3,2016-11-04
12,WS01111,SKU109,3,2016-11-15,22,23,32,35,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,2500,NSW,10,2,2016-11-04
13,WS01112,SKU109,3,2016-11-16,22,23,32,35,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,2500,NSW,10,2,2016-11-04
14,WS01113,SKU110,3,2016-11-15,22,23,32,35,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,2500,NSW,11,1,2016-11-04
15,WS01114,SKU110,3,2016-11-16,22,23,32,35,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,2500,NSW,11,2,2016-11-04





1,SKU2100,S9S306054001000930206,2016-11-04,TNT,22,23,32,35,John,Fcm,J,Fcm@gmail.com,0430289011,smith st,wollongong,2500,NSW
2,SKU2101,S9S306054001000930207,2016-11-05,TOLL,22,23,32,35,John,Mok,J,Mok@gmail.com,0430289012,smith st,wollongong,2500,NSW
3,SKU2102,S9S306054001000930208,2016-11-06,Australia Post,22,23,32,35,John,Dile,J,Dile@gmail.com,0430289013,smith st,wollongong,2500,NSW
4,SKU2103,APP3115935,2016-11-07,TNT,22,23,32,35,John,Low,J,Low@gmail.com,0430289014,smith st,wollongong,2500,NSW
5,SKU2104,APP3115934,2016-11-08,TOLL,22,23,32,35,John,Owen,J,Owen@gmail.com,0430289015,smith st,wollongong,2500,NSW
6,SKU2105,APP3115933,2016-11-09,Australia Post,22,23,32,35,John,Helle,J,Helle@gmail.com,0430289016,smith st,wollongong,2500,NSW
7,SKU2106,APP3115931,2016-11-11,Australia Post,22,23,32,35,John,Peter,J,Peter@gmail.com,0430289017,smith st,wollongong,2500,NSW
