1,WS0110,SKU101,1,,22,23,32,35,John,Andrew,A,Andrew@gmail.com,0430289001,smith st,wollongong,2500,NSW,"'2'",3
2,WS0111,SKU102,2,,22,23,32,35,John,Brain,B,Brain@gmail.com,0430289002,smith st,wollongong,2500,NSW,3,1
3,WS0112,SKU103,3,2016-11-12,22,23,32,35,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,2500,NSW,4,2
4,WS0113,SKU103,3,2016-11-07,22,23,32,35,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,2500,NSW,5,1
5,WS0114,SKU104,1,,22,23,32,35,John,Daniel,D,Daniel@gmail.com,0430289004,smith st,wollongong,2500,NSW,5,2
6,WS0115,SKU105,2,,22,23,32,35,John,Eva,E,Eva@gmail.com,0430289005,smith st,wollongong,2500,NSW,6,3
7,WS0116,SKU106,3,2016-11-11,22,23,32,35,John,Fred,F,Fred@gmail.com,0430289006,smith st,wollongong,2500,NSW,7,1
8,WS0117,SKU107,3,2016-11-12,22,23,32,35,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,2500,NSW,8,1
9,WS0118,SKU107,3,2016-11-11,22,23,32,35,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,2500,NSW,8,3
10,WS0119,SKU108,3,2016-11-14,22,23,32,35,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,2500,NSW,9,3
11,WS01110,SKU108,3,2016-11-15,22,23,32,35,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,2500,NSW,9,3
12,WS01111,SKU109,3,2016-11-15,22,23,32,35,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,2500,NSW,10,2
13,WS01112,SKU109,3,2016-11-16,22,23,32,35,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,2500,NSW,10,2
14,WS01113,SKU110,3,2016-11-15,22,23,32,35,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,2500,NSW,11,1
15,WS01114,SKU110,3,2016-11-16,22,23,32,35,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,2500,NSW,11,2
