1,22,23,32,35,2500,WS0110,SKU101,"''",John,Andrew,A,Andrew@gmail.com,0430289001,smith st,wollongong,NSW
2,22,23,32,35,2500,WS0111,SKU102,"''",John,Brain,B,Brain@gmail.com,0430289002,smith st,wollongong,NSW
3,22,23,32,35,2500,WS0112,SKU103,2016-11-12,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,NSW
1,22,23,32,35,2500,WS0113,SKU103,2016-11-07,John,Chris,C,Chris@gmail.com,0430289003,smith st,wollongong,NSW
2,22,23,32,35,2500,WS0114,SKU104,"''",John,Daniel,D,Daniel@gmail.com,0430289004,smith st,wollongong,NSW
3,22,23,32,35,2500,WS0115,SKU105,"''",John,Eva,E,Eva@gmail.com,0430289005,smith st,wollongong,NSW
1,22,23,32,35,2500,WS0116,SKU106,2016-11-11,John,Fred,F,Fred@gmail.com,0430289006,smith st,wollongong,NSW
1,22,23,32,35,2500,WS0117,SKU107,2016-11-12,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,NSW
3,22,23,32,35,2500,WS0118,SKU107,2016-11-11,John,Glan,G,Glan@gmail.com,0430289007,smith st,wollongong,NSW
3,22,23,32,35,2500,WS0119,SKU108,2016-11-14,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,NSW
3,22,23,32,35,2500,WS01110,SKU108,2016-11-15,John,Harry,H,Harry@gmail.com,0430289008,smith st,wollongong,NSW
2,22,23,32,35,2500,WS01111,SKU109,2016-11-15,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,NSW
2,22,23,32,35,2500,WS01112,SKU109,2016-11-16,John,Ivy,I,Ivy@gmail.com,0430289009,smith st,wollongong,NSW
1,22,23,32,35,2500,WS01113,SKU110,2016-11-15,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,NSW
2,22,23,32,35,2500,WS01114,SKU110,2016-11-16,John,Jack,J,Jack@gmail.com,0430289010,smith st,wollongong,NSW
